VI,CBB Reference,SBR 1,SBR 2,SBR 3,SBR 4,NC,Massey,Team Link,Ret Min
Samford Bulldogs,Samford,Samford,,,,Samford,Samford,samford,Samford
San Diego State Aztecs,San Diego State,SanDiegoState,,,,San Diego State,San Diego St,san-diego-state,San Diego St.
San Diego Toreros,San Diego,SanDiego,,,,San Diego,San Diego,san-diego,San Diego
San Francisco Dons,San Francisco,SanFrancisco,,,,San Francisco,San Francisco,san-francisco,San Francisco
San Jose State Spartans,San Jose State,SanJoseState,,,,San Jose State,San Jose St,san-jose-state,San Jose St.
Santa Clara Broncos,Santa Clara,SantaClara,,,,Santa Clara,Santa Clara,santa-clara,Santa Clara
Savannah State Tigers,Savannah State,SavannahState,,,,Savannah State,Savannah St,savannah-state,Savannah St.
Seattle University Red Hawks,Seattle,SeattleU,,,,Seattle,Seattle,seattle,Seattle
Seton Hall Pirates,Seton Hall,SetonHall,,,,Seton Hall,Seton Hall,seton-hall,Seton Hall
Siena College Saints,Siena,Siena,,,,Siena,Siena,siena,Siena
South Alabama Jaguars,South Alabama,SouthAlabama,,,,South Alabama,South Alabama,south-alabama,South Alabama
South Carolina Gamecocks,South Carolina,SouthCarolina,,,,South Carolina,South Carolina,south-carolina,South Carolina
South Carolina State Bulldogs,South Carolina State,SoCarolinaSt,,,,South Carolina State,S Carolina St,south-carolina-state,South Carolina St.
South Carolina-Upstate Spartans,USC Upstate,SCUpstate,USCUpstate,,,South Carolina Upstate,SC Upstate,south-carolina-upstate,USC Upstate
South Dakota Coyotes,South Dakota,SouthDakota,,,,South Dakota,South Dakota,south-dakota,South Dakota
South Dakota State Jackrabbits,South Dakota State,SouthDakotaState,SouthDakotaSt,,,South Dakota State,S Dakota St,south-dakota-state,South Dakota St.
South Florida Bulls,South Florida,SouthFlorida,,,,South Florida,South Florida,south-florida,South Florida
Southeast Missouri State Redhawks,Southeast Missouri State,SEMissouriSt,,,,Southeast Missouri State,SE Missouri St,southeast-missouri-state,Southeast Missouri St.
Southeastern Louisiana Lions,Southeastern Louisiana,SELouisiana,,,,Southeastern Louisiana,SE Louisiana,southeastern-louisiana,Southeastern Louisiana
Southern California Trojans,USC,USC,,,,Southern California,USC,southern-california,USC
Southern Illinois Salukis,Southern Illinois,SoIllinois,,,,Southern Illinois,S Illinois,southern-illinois,Southern Illinois
Southern Illinois-Edwardsville Cougars,SIU-Edwardsville,SIUEdwardsville,,,,Southern Illinois-Edwardsville,SIUE,southern-illinois-edwardsville,SIU Edwardsville
Southern Methodist Mustangs,SMU,SMU,,,,Southern Methodist,SMU,southern-methodist,SMU
Southern Mississippi Golden Eagles,Southern Miss,SouthernMiss,SoMississippi,,,Southern Mississippi,Southern Miss,southern-mississippi,Southern Miss
Southern University A&M Jaguars,Southern,Southern,,,,Southern,Southern Univ,southern,Southern
Southern Utah Thunderbirds,Southern Utah,SouthernUtah,,,,Southern Utah,Southern Utah,southern-utah,Southern Utah
Stanford Cardinal,Stanford,Stanford,,,,Stanford,Stanford,stanford,Stanford
Stephen F. Austin State Lumberjacks,Stephen F. Austin,StephenAustin,StephenF.Austin,,,Stephen F. Austin,SF Austin,stephen-f-austin,Stephen F. Austin
Stetson Hatters,Stetson,Stetson,,,,Stetson,Stetson,stetson,Stetson
Stony Brook Seawolves,Stony Brook,StonyBrook,,,,Stony Brook,Stony Brook,stony-brook,Stony Brook
Syracuse Orange,Syracuse,Syracuse,,,,Syracuse,Syracuse,syracuse,Syracuse
Temple Owls,Temple,Temple,,,,Temple,Temple,temple,Temple
Tennessee State Tigers,Tennessee State,TennesseeState,,,,Tennessee State,Tennessee St,tennessee-state,Tennessee St.
Tennessee Tech Golden Eagles,Tennessee Tech,TennesseeTech,,,,Tennessee Tech,Tennessee Tech,tennessee-tech,Tennessee Tech
Tennessee Volunteers,Tennessee,Tennessee,,,,Tennessee,Tennessee,tennessee,Tennessee
Tennessee-Chattanooga Moccasins,Chattanooga,TennesseeChat,,,,Chattanooga,Chattanooga,chattanooga,Chattanooga
Tennessee-Martin Skyhawks,UT-Martin,TennMartin,,,,Tennessee-Martin,TN Martin,tennessee-martin,Tennessee Martin
Texas A&M Aggies,Texas A&M,TexasA&M,,,,Texas A&M,Texas A&M,texas-am,Texas A&M
Texas A&M-Corpus Christi Islanders,Texas A&M-Corpus Christi,TexasA&MCorpus,,,,Texas A&M-Corpus Christi,TAM C. Christi,texas-am-corpus-christi,Texas A&M Corpus Chris
Texas Christian Horned Frogs,TCU,TCU,,,,Texas Christian,TCU,texas-christian,TCU
Texas Longhorns,Texas,Texas,,,,Texas,Texas,texas,Texas
Texas Rio Grande Vaqueros,Texas-Rio Grande Valley,UTRioGrandeValley,TXPanAmerican,,,Texas-Rio Grande Valley,UTRGV,texas-pan-american,UT Rio Grande Valley
Texas Southern Tigers,Texas Southern,TexasSouthern,,,,Texas Southern,TX Southern,texas-southern,Texas Southern
Texas State Bobcats,Texas State,TexasState,,,,Texas State,Texas St,texas-state,Texas St.
Texas Tech Red Raiders,Texas Tech,TexasTech,,,,Texas Tech,Texas Tech,texas-tech,Texas Tech
Texas-Arlington Mavericks,Texas-Arlington,UTArlington,,,,Texas-Arlington,UT Arlington,texas-arlington,UT Arlington
Texas-El Paso Miners,UTEP,UTEP,,,,Texas-El Paso,UTEP,texas-el-paso,UTEP
Texas-San Antonio Roadrunners,UTSA,TexasSanAntonio,TexSanAntonio,,,Texas-San Antonio,UT San Antonio,texas-san-antonio,UTSA
Toledo Rockets,Toledo,Toledo,,,,Toledo,Toledo,toledo,Toledo
Towson Tigers,Towson,Towson,,,,Towson,Towson,towson,Towson
Troy Trojans,Troy,Troy,,,,Troy,Troy,troy,Troy
Tulane Green Wave,Tulane,Tulane,,,,Tulane,Tulane,tulane,Tulane
Tulsa Golden Hurricane,Tulsa,Tulsa,,,,Tulsa,Tulsa,tulsa,Tulsa
UCLA Bruins,UCLA,UCLA,,,,UCLA,UCLA,ucla,UCLA
UNLV Rebels,UNLV,UNLV,,,,Nevada-Las Vegas,UNLV,nevada-las-vegas,UNLV
Utah State Aggies,Utah State,UtahState,,,,Utah State,Utah St,utah-state,Utah St.
Utah Utes,Utah,UtahU,,,,Utah,Utah,utah,Utah
Utah Valley Wolverines,Utah Valley,UtahValley,UtahValleySt,,,Utah Valley,Utah Valley,utah-valley,Utah Valley
Valparaiso Crusaders,Valparaiso,Valparaiso,,,,Valparaiso,Valparaiso,valparaiso,Valparaiso
Vanderbilt Commodores,Vanderbilt,Vanderbilt,,,,Vanderbilt,Vanderbilt,vanderbilt,Vanderbilt
Vermont Catamounts,Vermont,Vermont,,,,Vermont,Vermont,vermont,Vermont
Villanova Wildcats,Villanova,Villanova,,,,Villanova,Villanova,villanova,Villanova
Virginia Cavaliers,Virginia,Virginia,,,,Virginia,Virginia,virginia,Virginia
Virginia Commonwealth Rams,VCU,VaCommonwealth,,,,Virginia Commonwealth,VA Commonwealth,virginia-commonwealth,VCU
Virginia Military Keydets,VMI,VMI,,,,Virginia Military Institute,VMI,virginia-military-institute,VMI
Virginia Tech Hokies,Virginia Tech,VirginiaTech,,,,Virginia Tech,Virginia Tech,virginia-tech,Virginia Tech
Wagner Seahawks,Wagner,Wagner,,,,Wagner,Wagner,wagner,Wagner
Wake Forest Demon Deacons,Wake Forest,WakeForest,,,,Wake Forest,Wake Forest,wake-forest,Wake Forest
Washington Huskies,Washington,WashingtonU,,,,Washington,Washington,washington,Washington
Washington State Cougars,Washington State,WashingtonState,,,,Washington State,Washington St,washington-state,Washington St.
Weber State Wildcats,Weber State,WeberState,,,,Weber State,Weber St,weber-state,Weber St.
West Virginia Mountaineers,West Virginia,WestVirginia,,,,West Virginia,West Virginia,west-virginia,West Virginia
Western Carolina Catamounts,Western Carolina,WesternCarolina,,,,Western Carolina,W Carolina,western-carolina,Western Carolina
Western Illinois Leathernecks,Western Illinois,WesternIllinois,,,,Western Illinois,W Illinois,western-illinois,Western Illinois
Western Kentucky Hilltoppers,Western Kentucky,WesternKentucky,,,,Western Kentucky,WKU,western-kentucky,Western Kentucky
Western Michigan Broncos,Western Michigan,WesternMichigan,,,,Western Michigan,W Michigan,western-michigan,Western Michigan
Wichita State Shockers,Wichita State,WichitaState, WichitaState,,,Wichita State,Wichita St,wichita-state,Wichita St.
William & Mary Tribe,William & Mary,William&Mary,,,,William & Mary,William & Mary,william-mary,William & Mary
Winthrop Eagles,Winthrop,Winthrop,,,,Winthrop,Winthrop,winthrop,Winthrop
Wisconsin Badgers,Wisconsin,Wisconsin,,,,Wisconsin,Wisconsin,wisconsin,Wisconsin
Wisconsin-Green Bay Phoenix,Green Bay,WiscGreenBay,,,,Green Bay,WI Green Bay,green-bay,Green Bay
Wisconsin-Milwaukee Panthers,Milwaukee,WiscMilwaukee,,,,Milwaukee,WI Milwaukee,milwaukee,Milwaukee
Wofford Terriers,Wofford,Wofford,,,,Wofford,Wofford,wofford,Wofford
Wright State Raiders,Wright State,WrightState,,,,Wright State,Wright St,wright-state,Wright St.
Wyoming Cowboys,Wyoming,Wyoming,,,,Wyoming,Wyoming,wyoming,Wyoming
Xavier Musketeers,Xavier,Xavier,,,,Xavier,Xavier,xavier,Xavier
Yale Bulldogs,Yale,Yale,,,,Yale,Yale,yale,Yale
Youngstown State Penguins,Youngstown State,YoungstownState,,,,Youngstown State,Youngstown St,youngstown-state,Youngstown St.
